Elapsed_Time,Microsoft_Ramp_Up_Latencies
2016-10-04 17:55:00.653386543Z,2171.06312
2016-10-04 17:55:01.783386543Z,1078.894784
2016-10-04 17:55:00.573386543Z,2313.544016
2016-10-04 17:55:01.163386543Z,2112.345712
2016-10-04 17:55:03.298556543Z,742.58568
2016-10-04 17:55:03.308556543Z,781.60688
2016-10-04 17:55:03.293556543Z,829.283664
2016-10-04 17:55:03.313556543Z,907.18624
2016-10-04 17:55:03.408556543Z,878.341808
2016-10-04 17:55:03.443556543Z,854.6792
2016-10-04 17:55:03.336618127Z,1022.07952
2016-10-04 17:55:03.373556543Z,1005.878192
2016-10-04 17:55:03.398556543Z,981.960096
2016-10-04 17:55:03.288556543Z,1092.079648
2016-10-04 17:55:03.483556543Z,906.418928
2016-10-04 17:55:03.453556543Z,948.458976
2016-10-04 17:55:03.388556543Z,1013.463744
2016-10-04 17:55:03.495368207Z,906.885824
2016-10-04 17:55:03.383556543Z,1018.741552
2016-10-04 17:55:03.318556543Z,1093.614672
2016-10-04 17:55:03.338556543Z,1083.795184
2016-10-04 17:55:03.348946127Z,1087.713968
2016-10-04 17:55:03.353556543Z,1083.978736
2016-10-04 17:55:03.363556543Z,1074.10552
2016-10-04 17:55:03.438556543Z,1006.307872
2016-10-04 17:55:03.303556543Z,1159.06872
2016-10-04 17:55:03.418556543Z,1045.050656
2016-10-04 17:55:03.328556543Z,1139.271664
2016-10-04 17:55:03.523556543Z,963.843552
2016-10-04 17:55:03.528556543Z,966.300368
2016-10-04 17:55:03.518556543Z,1004.65392
2016-10-04 17:55:03.358556543Z,1165.016736
2016-10-04 17:55:03.568556543Z,967.148064
2016-10-04 17:55:03.368556543Z,1169.757584
2016-10-04 17:55:03.448606335Z,1090.683264
2016-10-04 17:55:03.378556543Z,1161.097808
2016-10-04 17:55:03.428556543Z,1117.550848
2016-10-04 17:55:03.458556543Z,1114.36344
2016-10-04 17:55:03.403556543Z,1194.493872
2016-10-04 17:55:03.479081375Z,1128.049824
2016-10-04 17:55:03.543556543Z,1068.061888
2016-10-04 17:55:03.648556543Z,963.746048
2016-10-04 17:55:03.473556543Z,1150.05504
2016-10-04 17:55:03.498556543Z,1125.579728
2016-10-04 17:55:03.343556543Z,1282.025952
2016-10-04 17:55:03.423556543Z,1237.612032
2016-10-04 17:55:03.582936095Z,1237.444
2016-10-04 17:55:03.588556543Z,1232.113952
2016-10-04 17:55:03.718556543Z,1112.26224
2016-10-04 17:55:03.563556543Z,1269.663888
2016-10-04 17:55:03.673556543Z,1166.30488
2016-10-04 17:55:03.495362495Z,1384.689008
2016-10-04 17:55:03.556290063Z,1323.8852
2016-10-04 17:55:03.463556543Z,1417.10904
2016-10-04 17:55:03.393556543Z,1512.182608
2016-10-04 17:55:03.433556543Z,1472.420208
2016-10-04 17:55:03.468556543Z,1448.602624
2016-10-04 17:55:03.758556543Z,1158.801776
2016-10-04 17:55:03.573556543Z,1391.240736
2016-10-04 17:55:03.553144895Z,1413.5116
2016-10-04 17:55:03.603556543Z,1368.131376
2016-10-04 17:55:03.777164591Z,1197.078896
2016-10-04 17:55:03.538556543Z,1489.652384
2016-10-04 17:55:03.533556543Z,1497.545072
2016-10-04 17:55:03.805340015Z,1226.66392
2016-10-04 17:55:03.703556543Z,1343.659648
2016-10-04 17:55:03.413556543Z,1633.907184
2016-10-04 17:55:03.728556543Z,1319.209184
2016-10-04 17:55:03.723556543Z,1325.28744
2016-10-04 17:55:03.665769215Z,1392.484128
2016-10-04 17:55:03.643686591Z,1423.037504
2016-10-04 17:55:03.733556543Z,1334.139872
2016-10-04 17:55:03.700853119Z,1373.006592
2016-10-04 17:55:03.805344079Z,1286.218
2016-10-04 17:55:03.583556543Z,1508.490208
2016-10-04 17:55:03.777161983Z,1315.168064
2016-10-04 17:55:03.513556543Z,1594.519872
2016-10-04 17:55:03.608556543Z,1499.846976
2016-10-04 17:55:03.503556543Z,1640.351808
2016-10-04 17:55:03.619086671Z,1524.986528
2016-10-04 17:55:03.658556543Z,1535.244208
2016-10-04 17:55:03.693556543Z,1508.5864
2016-10-04 17:55:03.689007327Z,1583.568304
2016-10-04 17:55:03.757895151Z,1527.226432
2016-10-04 17:55:03.678556543Z,1643.539264
2016-10-04 17:55:03.789902815Z,1532.466464
