"Time","Mule Latency"
1475181501743268934,134317768
1475181501843268934,81763680
1475181501943268934,100873207
1475181502043268934,33668354
1475181502143268934,47191684
1475181502243268934,39840629
1475181502343268934,43911159
1475181502443268934,48190341
1475181502543268934,106521950
1475181502643268934,152419611
1475181502743268934,120001934
1475181502843268934,27329900
1475181502943268934,27659837
1475181503043268934,44134719
1475181503143268934,87863065
1475181503243268934,46873117
1475181503343268934,28339030
1475181503543268934,40644018
1475181503643268934,46625181
1475181503743268934,81457776
1475181503843268934,104821746
1475181503943268934,41594521
1475181504043268934,36428248
1475181504143268934,75117107
1475181503443268934,867859337
1475181504243268934,85237306
1475181504343268934,45553650
1475181504443268934,89257782
1475181504543268934,111371516
1475181504743268934,44194717
1475181504843268934,23005418
1475181504643268934,302126277
1475181504943268934,42323409
1475181505043268934,25405369
1475181505143268934,61777924
1475181505243268934,58549391
1475181505343268934,75871408
1475181505443268934,24488545
1475181505543268934,49292269
1475181505643268934,47452845
1475181505743268934,26708202
1475181505843268934,44077278
1475181505943268934,27468060
1475181506043268934,72977669
1475181506143268934,25269753
1475181506243268934,27464167
1475181506343268934,29194854
1475181506443268934,40594538
1475181506543268934,70278822
1475181506643268934,25316359
1475181506743268934,62111354
1475181506843268934,59272377
1475181506943268934,69838579
1475181507043268934,28841839
1475181507143268934,50653602
1475181507343268934,27916528
1475181507243268934,155519078
1475181507443268934,44219346
1475181507543268934,59798252
1475181507643268934,51638821
1475181507743268934,65306703
1475181507843268934,77862958
1475181507943268934,66135714
1475181508043268934,47344048
1475181508143268934,37861793
1475181508243268934,53703493
1475181508343268934,34110899
1475181508443268934,53913426
1475181508543268934,71295574
1475181508643268934,115219221
1475181508743268934,110923054
1475181508843268934,61963856
1475181508943268934,48011392
1475181509043268934,63999041
1475181509143268934,23474927
1475181509243268934,27583255
1475181509343268934,49489015
1475181509443268934,27961995
1475181509543268934,30103393
1475181509643268934,47121105
1475181509743268934,27960809
1475181509843268934,47421869
1475181509943268934,27893010
1475181510043268934,107264703
1475181510143268934,49213123
1475181510243268934,29660713
1475181510343268934,42186447
1475181510443268934,37457660
1475181510543268934,30442240
1475181510643268934,59432114
1475181510743268934,28671823
1475181510843268934,30780356
1475181510943268934,46284807
1475181511043268934,74411543
1475181511143268934,45219660
1475181511243268934,32297985
1475181511343268934,169096901
1475181511543268934,28664609
1475181511443268934,168063523
1475181511643268934,30062013
1475181511743268934,30366671
1475181511843268934,27413580
1475181511943268934,49081537
1475181512043268934,40547225
1475181512143268934,31767161
1475181512343268934,88666259
1475181512243268934,260317478
1475181512443268934,96996089
1475181512543268934,29891184
1475181512643268934,39572300
1475181512743268934,28168947
1475181512843268934,29235752
1475181512943268934,87387036
1475181513043268934,31368811
1475181513143268934,164130966
1475181513243268934,106013087
1475181513343268934,134759460
1475181513443268934,63441519
1475181513543268934,83569603
1475181513643268934,89872753
1475181513843268934,29601496
1475181513743268934,130009752
1475181513943268934,32192849
1475181514043268934,262784773
1475181514143268934,215677097
1475181514343268934,25254791
1475181514243268934,149487462
1475181514443268934,55017068
1475181514543268934,39245204
1475181514643268934,64534859
1475181514743268934,171569044
1475181514943268934,56824961
1475181515043268934,59554740
1475181515143268934,56795411
1475181515243268934,28051031
1475181515343268934,42619320
1475181515443268934,28686968
1475181515543268934,72413937
1475181515643268934,55354188
1475181515743268934,38156314
1475181515843268934,37535551
1475181514843268934,1090733168
1475181515943268934,24759372
1475181516043268934,47046409
1475181516143268934,79198824
1475181516243268934,45941556
1475181516343268934,24172752
1475181516443268934,86064280
1475181516543268934,99028036
1475181516643268934,80172438
1475181516743268934,24001051
1475181516843268934,46050737
1475181516943268934,45283887
1475181517043268934,26617529
1475181517143268934,68298713
1475181517243268934,74775774
1475181517343268934,53615181
1475181517443268934,41034977
1475181517543268934,28827383
1475181517643268934,83069806
1475181517743268934,72039445
1475181517843268934,102280790
1475181517943268934,59332445
1475181518043268934,23614047
1475181518143268934,34047576
1475181518243268934,64455565
1475181518343268934,44073016
1475181518443268934,22225287
1475181518543268934,23554729
1475181518643268934,70499868
1475181518743268934,129129771
1475181518843268934,45314374
1475181518943268934,95292565
1475181519043268934,61887498
1475181519143268934,62409309
1475181519243268934,26918065
1475181519343268934,27085430
1475181519443268934,88494843
1475181519543268934,70912588
1475181519643268934,68425866
1475181519743268934,71435496
1475181519843268934,62906990
1475181519943268934,49910456
1475181520043268934,31537329
1475181520143268934,60596273
1475181520243268934,30142202
1475181520343268934,52709747
1475181520443268934,114230792
1475181520543268934,28195234
1475181520643268934,25872164
1475181520743268934,38093240
1475181520843268934,38055593
1475181520943268934,27573183
1475181521043268934,47876289
1475181521143268934,46497676
1475181521243268934,61928306
1475181521343268934,48189417
1475181521443268934,55402177
1475181521543268934,98774106
1475181521643268934,80027166
1475181521743268934,53877096
1475181521843268934,56550460
1475181521943268934,41851681
1475181522043268934,63658866
1475181522243268934,50394597
1475181522143268934,217364964
1475181522343268934,28374805
1475181522443268934,47239712
1475181522543268934,39665511
1475181522643268934,28368686
1475181522743268934,26131065
1475181522843268934,27290484
1475181522943268934,29453122
1475181523043268934,26622621
1475181523143268934,98638280
1475181523243268934,28992409
1475181523343268934,30500719
1475181523443268934,109922254
1475181523543268934,43558124
1475181523643268934,25888301
1475181523743268934,47371782
1475181523843268934,65352559
1475181523943268934,30431081
1475181524043268934,58667018
1475181524143268934,24936688
1475181524243268934,34447550
1475181524343268934,83403308
1475181524443268934,25820853
1475181524543268934,27369718
1475181524743268934,24098555
1475181524643268934,187998289
1475181524843268934,94227416
1475181524943268934,57425001
1475181525043268934,143969681
1475181525143268934,45797221
1475181525243268934,61605405
1475181525343268934,56799177
1475181525443268934,44162718
1475181525543268934,28962442
1475181525643268934,104732765
1475181525743268934,37381480
1475181525843268934,115743504
1475181525943268934,64880066
1475181526043268934,29874432
1475181526143268934,60390499
1475181526243268934,28898189
1475181526343268934,126437898
1475181526443268934,74646173
1475181526543268934,27619644
1475181526643268934,24960078
1475181526743268934,59712384
1475181526843268934,26166975
1475181526943268934,47711108
1475181527043268934,28099544
1475181527143268934,24480763
1475181527243268934,53897297
1475181527343268934,68710626
1475181527443268934,88673555
1475181527543268934,25287489
1475181527643268934,94504545
1475181527743268934,56583079
1475181527843268934,58626367
1475181527943268934,43319057
1475181528043268934,54343784
1475181528143268934,24829557
1475181528243268934,102574786
1475181528343268934,61413402
1475181528443268934,43854281
1475181528543268934,31285867
1475181528643268934,28464584
1475181528743268934,95464441
1475181528843268934,25220069
1475181528943268934,41298730
1475181529043268934,25048268
1475181529143268934,40758262
1475181529243268934,46519476
1475181529343268934,52353101
1475181529443268934,44254672
1475181529543268934,26036767
1475181529643268934,27403142
1475181529743268934,45448850
1475181529843268934,67936509
1475181529943268934,34275691
1475181530043268934,93486487
1475181530143268934,34299689
1475181530243268934,27400348
1475181530343268934,33188723
1475181530443268934,32320086
1475181530543268934,28860837
1475181530643268934,50679059
1475181530743268934,29065133
1475181530843268934,27193168
1475181530943268934,106789135
1475181531043268934,30189637
1475181531143268934,47077180
1475181531343268934,45348922
1475181531243268934,228351368
1475181531443268934,48054146
1475181531543268934,32463123
1475181531643268934,73937071
1475181531743268934,27267664
1475181531843268934,59999584
1475181531943268934,34576845
1475181532043268934,49322163
1475181532143268934,170113520
1475181532243268934,81909449
1475181532443268934,25620993
1475181532343268934,186164386
1475181532543268934,42048183
1475181532643268934,129731313
1475181532743268934,30063516
1475181532843268934,65985848
1475181532943268934,47066990
1475181533043268934,62872276
1475181533143268934,72535795
1475181533343268934,82404477
1475181533443268934,26178144
1475181533543268934,48367609
1475181533643268934,26449167
1475181533743268934,58738756
1475181533243268934,626933670
1475181533843268934,28903255
1475181533943268934,24686103
1475181534043268934,140214855
1475181534143268934,56092908
1475181534343268934,26768748
1475181534243268934,129670574
1475181534443268934,141495675
1475181534543268934,94885893
1475181534643268934,55892117
1475181534743268934,34229371
1475181534843268934,55745367
1475181534943268934,123553719
1475181535043268934,29414097
1475181535143268934,27789709
1475181535243268934,32976003
1475181535343268934,26790842
1475181535443268934,72588278
1475181535543268934,49933236
1475181535643268934,52701207
1475181535743268934,57925356
1475181535843268934,116927984
1475181535943268934,35986039
1475181536043268934,27439505
1475181536143268934,64691089
1475181536243268934,60136515
1475181536343268934,34843709
1475181536443268934,55654878
1475181536543268934,29509695
1475181536643268934,179243935
1475181536743268934,145289137
1475181536843268934,46083357
1475181536943268934,28310572
1475181537143268934,292299293
1475181537443268934,35185448
1475181537243268934,253340248
1475181537343268934,155617929
1475181537043268934,478027588
1475181537543268934,89458261
1475181537843268934,53303315
1475181537943268934,56923630
1475181537643268934,389932991
1475181538043268934,49527412
1475181537743268934,410983237
1475181538143268934,32432489
1475181538243268934,42365000
1475181538343268934,85348514
1475181538443268934,64947690
1475181538643268934,52908607
1475181538543268934,158339308
1475181538743268934,43029792
1475181538843268934,48973970
1475181538943268934,44669042
1475181539043268934,71530892
1475181539143268934,104808759
1475181539243268934,90682024
1475181539343268934,27266887
1475181539443268934,26797759
1475181539543268934,42883662
1475181539643268934,70910485
1475181539743268934,41779494
1475181539843268934,47090669
1475181539943268934,32529704
1475181540043268934,115803677
1475181540143268934,40439279
1475181540243268934,67756047
1475181540343268934,49189837
1475181540443268934,58297297
1475181540543268934,26518846
1475181540643268934,57150555
1475181540743268934,48881691
1475181540843268934,57522692
1475181540943268934,52391684
1475181541143268934,74878379
1475181541043268934,198302864
1475181541243268934,98056849
1475181541343268934,28667519
1475181541443268934,47630356
1475181541543268934,55206463
1475181541643268934,88399493
1475181541743268934,87454358
1475181541843268934,90753628
1475181541943268934,87339037
1475181542043268934,38833424
1475181542143268934,28940184
1475181542343268934,74541237
1475181542443268934,102194207
1475181542643268934,54539135
1475181542543268934,186802934
1475181542243268934,498370548
1475181542843268934,52280927
1475181542743268934,189837108
1475181542943268934,34341435
1475181543043268934,55101264
1475181543143268934,50962431
1475181543243268934,26865519
1475181543343268934,38192365
1475181543443268934,29874020
1475181543543268934,100673166
1475181543643268934,30286637
1475181543743268934,68735491
1475181543843268934,81780729
1475181543943268934,37792926
1475181544043268934,33871713
1475181544143268934,65181423
1475181544343268934,28853546
1475181544443268934,41061433
1475181544543268934,27211944
1475181544643268934,44144077
1475181544743268934,31912228
1475181544843268934,97668648
1475181544943268934,42775428
1475181545043268934,44324201
1475181545143268934,116106748
1475181545243268934,100009274
1475181545343268934,29028466
1475181544243268934,1133227854
1475181545443268934,90733523
1475181545543268934,28445785
1475181545643268934,29341601
1475181545743268934,130155358
1475181545843268934,94068092
1475181545943268934,29398108
1475181546043268934,28220082
1475181546143268934,26453581
1475181546243268934,28745950
1475181546343268934,74675535
1475181546443268934,50452043
1475181546543268934,73508975
1475181546643268934,91257454
1475181546743268934,38640294
1475181546843268934,134969427
1475181546943268934,90545222
1475181547043268934,40681171
1475181547143268934,89928568
1475181547243268934,31246406
1475181547343268934,61109193
1475181547443268934,96654218
1475181547543268934,37516545
1475181547643268934,26867463
1475181547743268934,59825187
1475181547843268934,30168594
1475181547943268934,29785724
1475181548043268934,41883019
1475181548143268934,37448190
1475181548243268934,139256526
1475181548343268934,112020887
1475181548443268934,27854251
1475181548543268934,29600777
1475181548643268934,61338380
1475181548743268934,57380185
1475181548843268934,70028826
1475181548943268934,28749188
1475181549043268934,54328229
1475181549143268934,29751924
1475181549343268934,59140271
1475181549243268934,188074019
1475181549443268934,63860376
1475181549543268934,79886226
1475181549643268934,66857476
1475181549743268934,76203370
1475181549843268934,88560833
1475181549943268934,32395179
1475181550043268934,67919082
1475181550143268934,27133734
1475181550343268934,25834379
1475181550243268934,146197919
1475181550443268934,25625784
1475181550543268934,29716001
1475181550643268934,53387836
1475181550743268934,34903165
1475181550843268934,90192109
1475181550943268934,40544241
1475181551043268934,155155083
1475181551143268934,77862258
1475181551243268934,29016216
1475181551343268934,35910757
1475181551443268934,29231741
1475181551643268934,71872678
1475181551543268934,213095136
1475181551743268934,45501375
1475181551843268934,102317803
1475181551943268934,47988363
1475181552043268934,81637536
1475181552143268934,140679192
1475181552243268934,42617908
1475181552343268934,119639895
1475181552443268934,29396555
1475181552543268934,37780955
1475181552643268934,44698585
1475181552743268934,41036819
1475181552843268934,42254164
1475181552943268934,118731114
1475181553043268934,58975448
1475181553143268934,108482065
1475181553243268934,77777358
1475181553343268934,102561714
1475181553443268934,67887120
1475181553643268934,191580515
1475181553543268934,316540515
1475181553743268934,136100760
1475181553843268934,64661773
1475181553943268934,53075628
1475181554043268934,32130417
1475181554143268934,41076318
1475181554243268934,41416955
1475181554343268934,38736379
1475181554443268934,56090720
1475181554543268934,26638375
1475181554643268934,36612395
1475181554743268934,125832485
1475181554843268934,52950252
1475181554943268934,58662382
1475181555043268934,45263286
1475181555143268934,38874175
1475181555243268934,84479162
1475181555343268934,35817456
1475181555443268934,50435897
1475181555543268934,89199234
1475181555643268934,53636395
1475181555743268934,30860283
1475181555843268934,52024003
1475181555943268934,78859686
1475181556043268934,81273083
1475181556143268934,104446818
1475181556243268934,41646408
1475181556343268934,33279958
1475181556443268934,49416587
1475181556543268934,60603661
1475181556643268934,27707041
1475181556743268934,29218300
1475181556843268934,47243740
1475181556943268934,118019837
1475181557043268934,43595867
1475181557143268934,27757901
1475181557243268934,30578964
1475181557343268934,30445440
1475181557443268934,26914328
1475181557543268934,123935149
1475181557643268934,34998083
1475181557743268934,30056786
1475181557843268934,56341052
1475181557943268934,81177291
1475181558043268934,46428801
1475181558143268934,74338293
1475181558243268934,43830957
1475181558343268934,30611622
1475181558443268934,60318697
1475181558543268934,86470573
1475181558643268934,57806406
1475181558743268934,48699384
1475181558843268934,30126682
1475181558943268934,91134377
1475181559043268934,35410964
1475181559143268934,109454834
1475181559243268934,64242617
1475181559343268934,30756748
1475181559443268934,28920322
1475181559543268934,52270722
1475181559643268934,174424795
1475181559743268934,129772599
1475181559843268934,46565300
1475181559943268934,49836110
1475181560043268934,35990720
1475181560143268934,42713054
1475181560243268934,61325986
1475181560343268934,86527801
1475181560443268934,31768376
1475181560543268934,67246525
1475181560643268934,39196363
1475181560743268934,43991107
1475181560843268934,33265792
1475181560943268934,26927144
1475181561043268934,46279974
1475181561143268934,130155879
1475181561243268934,39195382
1475181561343268934,26179997
1475181561443268934,71202019
1475181561543268934,31085237
1475181561643268934,27755751
1475181561743268934,58604977
1475181561843268934,52753018
1475181561943268934,39271847
1475181562143268934,59057378
1475181562243268934,41347922
1475181562343268934,45914209
1475181562443268934,30501060
1475181562043268934,518150706
1475181562543268934,30975928
1475181562643268934,27837605
1475181562743268934,89861478
1475181562843268934,41192675
1475181562943268934,55069169
1475181563043268934,62962224
1475181563143268934,115638247
1475181563243268934,93760929
1475181563343268934,29475996
1475181563443268934,59059077
1475181563543268934,25878357
1475181563643268934,51076866
1475181563743268934,26969394
1475181563843268934,38115340
1475181563943268934,99737151
1475181564043268934,27304825
1475181564243268934,50157490
1475181564143268934,186143811
1475181564343268934,79132228
1475181564443268934,121064623
1475181564543268934,69442003
1475181564643268934,58373971
1475181564743268934,81356517
1475181564843268934,29741011
1475181564943268934,62294258
1475181565043268934,56087040
1475181565143268934,29416384
1475181565243268934,27742084
1475181565343268934,31244693
1475181565443268934,48719147
1475181565543268934,103488998
1475181565643268934,87772856
1475181565743268934,38648793
1475181565843268934,31401507
1475181565943268934,70648265
1475181566043268934,36186870
1475181566243268934,29520163
1475181566143268934,191207830
1475181566343268934,58482871
1475181566443268934,51223171
1475181566543268934,34905226
1475181566643268934,118394979
1475181566743268934,33576805
1475181566843268934,40559219
1475181566943268934,52725674
1475181567043268934,48547220
1475181567143268934,77055668
1475181567243268934,30322586
1475181567443268934,49634210
1475181567543268934,56866204
1475181567643268934,29415032
1475181567743268934,39595184
1475181567843268934,39437280
1475181567343268934,545168497
1475181567943268934,42033454
1475181568043268934,42448935
1475181568143268934,27569872
1475181568243268934,47404331
1475181568343268934,28104181
1475181568443268934,52771940
1475181568543268934,42448317
